Name,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SFG,HBP,AVG,OBP,SLG,OPS
William Contreras,MIL,C,27,56,203,34,51,7,0,5,26,5,0,36,47,0,1,0,0.251,0.363,0.36,0.723
Willie MacIver,ATH,C,28,4,9,1,3,0,0,0,1,1,0,0,1,0,0,0,0.333,0.333,0.333,0.666
Willson Contreras,STL,C,33,55,207,25,50,10,0,6,31,2,0,17,56,1,1,8,0.242,0.322,0.377,0.699
Willy Adames,SFG,SS,29,59,226,30,47,10,1,5,25,3,2,26,67,0,2,1,0.208,0.29,0.327,0.617
Wilmer Flores,SFG,1B,33,58,210,24,53,4,0,10,47,1,0,17,41,0,0,2,0.252,0.314,0.414,0.728
Wilyer Abreu,BOS,OF,25,58,198,27,49,8,0,13,29,4,2,24,49,0,0,0,0.247,0.329,0.485,0.814
Wyatt Langford,TEX,OF,23,50,186,25,43,7,0,11,24,11,2,23,53,0,3,1,0.231,0.315,0.446,0.761
Xander Bogaerts,SDP,SS,32,57,194,24,47,9,0,3,21,11,0,26,42,0,4,1,0.242,0.329,0.335,0.664
Xavier Edwards,MIA,SS,25,44,177,19,50,4,1,0,12,11,4,19,34,1,2,1,0.282,0.352,0.316,0.668
Yainer Diaz,HOU,C,26,52,195,20,45,6,1,7,24,0,1,8,37,0,0,2,0.231,0.268,0.379,0.647
Yandy Diaz,TBR,1B,33,55,224,22,53,12,0,8,34,3,0,14,35,0,3,1,0.237,0.281,0.397,0.678
Yoan Moncada,LAA,3B,30,30,97,16,23,6,1,6,19,0,0,13,32,0,1,2,0.237,0.336,0.505,0.841
Yohel Pozo,STL,C,27,18,53,5,17,3,0,1,4,0,0,1,1,0,0,0,0.321,0.333,0.434,0.767
Yordan Alvarez,HOU,OF,27,29,100,7,21,4,0,3,18,1,0,16,21,0,5,0,0.21,0.306,0.34,0.646
Yuli Gurriel,SDP,1B,40,16,36,2,4,1,0,0,3,0,0,4,8,0,0,0,0.111,0.2,0.139,0.339
Zac Veen,COL,OF,23,12,34,1,4,1,0,1,2,1,1,2,14,0,0,1,0.118,0.189,0.235,0.424
Zachary Dezenzo,HOU,1B,25,34,98,17,24,6,0,2,10,1,0,11,37,0,0,0,0.245,0.321,0.367,0.688
Zach McKinstry,DET,SS,30,53,176,29,47,10,4,3,19,4,0,25,51,1,2,1,0.267,0.358,0.42,0.778
Zach Neto,LAA,SS,24,40,159,29,43,10,0,9,20,8,2,8,50,0,1,2,0.27,0.312,0.503,0.815
